protein name,invasive counts,invasive fraction,non-invasive counts,non-invasive fraction
MYL6B,6,0.00917,3,0.01042
RS10,34,0.05199,19,0.06597
SOX13,1,0.00153,0,0.0
CHUR,0,0.0,1,0.00347
ZN830,2,0.00306,1,0.00347
H7BYE3,0,0.0,1,0.00347
H0YNB0,5,0.00765,3,0.01042
CHD1,10,0.01529,5,0.01736
J3QQW9,1,0.00153,1,0.00347
DPOD2,0,0.0,1,0.00347
D6RFH4,44,0.06728,27,0.09375
MDM4,0,0.0,1,0.00347
J3QLR8,89,0.13609,63,0.21875
VWA8,137,0.20948,74,0.25694
CP4FB,0,0.0,1,0.00347
Q5W0C6,2,0.00306,0,0.0
MLTK,4,0.00612,6,0.02083
PRR15,1,0.00153,0,0.0
A8MX15,0,0.0,1,0.00347
AK1BA,19,0.02905,9,0.03125
B9ZVP7,177,0.27064,115,0.39931
B8ZZ67,6,0.00917,3,0.01042
E7ET76,1,0.00153,0,0.0
SYG,236,0.36086,145,0.50347
TRIL,0,0.0,1,0.00347
E5RIR4,34,0.05199,18,0.0625
FRY,2,0.00306,0,0.0
CP2S1,59,0.09021,27,0.09375
E5RFU3,5,0.00765,3,0.01042
E9PKR9,2,0.00306,1,0.00347
A4QPA5,0,0.0,1,0.00347
PHLA2,1,0.00153,1,0.00347
ADH1B,25,0.03823,17,0.05903
D6RCE2,46,0.07034,28,0.09722
RRP5,169,0.25841,99,0.34375
E5RFT5,5,0.00765,2,0.00694
BUD13,1,0.00153,2,0.00694
C9JU50,1,0.00153,0,0.0
BAI1,1,0.00153,0,0.0
I3L0U5,4,0.00612,5,0.01736
H7C0P7,1,0.00153,0,0.0
B4DQ88,3,0.00459,2,0.00694
E5RFK8,1,0.00153,0,0.0
B5ME96,1,0.00153,0,0.0
B3KXW5,178,0.27217,114,0.39583
C9JZ40,1,0.00153,1,0.00347
C9K0V9,1,0.00153,1,0.00347
D6RCT8,0,0.0,1,0.00347
D6RJC9,1,0.00153,0,0.0
CEAM6,33,0.05046,19,0.06597
H7C2I8,25,0.03823,19,0.06597
F6QUT6,5,0.00765,3,0.01042
H3BRF5,18,0.02752,12,0.04167
EYA2,2,0.00306,0,0.0
H0YE29,106,0.16208,61,0.21181
TB10C,1,0.00153,0,0.0
H0Y8Z7,7,0.0107,4,0.01389
WDR47,1,0.00153,0,0.0
B7Z2A4,23,0.03517,10,0.03472
GPR75,0,0.0,1,0.00347
E7ENA9,64,0.09786,33,0.11458
CHSP1,12,0.01835,12,0.04167
M0R3D4,2,0.00306,1,0.00347
RL36L,25,0.03823,18,0.0625
B7Z3Q6,3,0.00459,0,0.0
NELFB,72,0.11009,45,0.15625
A8MVM8,11,0.01682,4,0.01389
E9PKA3,19,0.02905,7,0.02431
CXL14,4,0.00612,1,0.00347
RAD17,1,0.00153,0,0.0
H3BPA7,1,0.00153,0,0.0
ZN626,1,0.00153,0,0.0
H0YE69,9,0.01376,4,0.01389
B4DF47,1,0.00153,0,0.0
RETN,22,0.03364,15,0.05208
A6NGP5,5,0.00765,0,0.0
PKHS1,5,0.00765,3,0.01042
QSOX1,49,0.07492,34,0.11806
H3BN93,16,0.02446,9,0.03125
F5H715,50,0.07645,25,0.08681
C9JU80,3,0.00459,4,0.01389
H0YNR9,1,0.00153,0,0.0
RM28,8,0.01223,4,0.01389
ELF1,18,0.02752,7,0.02431
RB22A,3,0.00459,4,0.01389
CSK,30,0.04587,24,0.08333
PCDGJ,1,0.00153,0,0.0
